corridor_id,center_id,zone_id,penalty_minutes
corr_anamizu_noto,center_17201,zone_17202,0.0
corr_anamizu_noto,center_17201,zone_17204,0.0
corr_anamizu_noto,center_17201,zone_17205,0.0
corr_anamizu_noto,center_17201,zone_17461,0.0
corr_anamizu_noto,center_17201,zone_17463,30.0
corr_anamizu_noto,center_17202,zone_17202,0.0
corr_anamizu_noto,center_17202,zone_17204,0.0
corr_anamizu_noto,center_17202,zone_17205,0.0
corr_anamizu_noto,center_17202,zone_17461,0.0
corr_anamizu_noto,center_17202,zone_17463,30.0
corr_anamizu_noto,center_17204,zone_17202,0.0
corr_anamizu_noto,center_17204,zone_17204,0.0
corr_anamizu_noto,center_17204,zone_17205,0.0
corr_anamizu_noto,center_17204,zone_17461,0.0
corr_anamizu_noto,center_17204,zone_17463,30.0
corr_anamizu_noto,center_17205,zone_17202,0.0
corr_anamizu_noto,center_17205,zone_17204,0.0
corr_anamizu_noto,center_17205,zone_17205,0.0
corr_anamizu_noto,center_17205,zone_17461,0.0
corr_anamizu_noto,center_17205,zone_17463,30.0
corr_anamizu_noto,center_17461,zone_17202,0.0
corr_anamizu_noto,center_17461,zone_17204,0.0
corr_anamizu_noto,center_17461,zone_17205,0.0
corr_anamizu_noto,center_17461,zone_17461,0.0
corr_anamizu_noto,center_17461,zone_17463,30.0
corr_anamizu_noto,center_17463,zone_17202,30.0
corr_anamizu_noto,center_17463,zone_17204,30.0
corr_anamizu_noto,center_17463,zone_17205,30.0
corr_anamizu_noto,center_17463,zone_17461,30.0
corr_anamizu_noto,center_17463,zone_17463,0.0
corr_anamizu_suzu,center_17201,zone_17202,0.0
corr_anamizu_suzu,center_17201,zone_17204,0.0
corr_anamizu_suzu,center_17201,zone_17205,40.0
corr_anamizu_suzu,center_17201,zone_17461,0.0
corr_anamizu_suzu,center_17201,zone_17463,0.0
corr_anamizu_suzu,center_17202,zone_17202,0.0
corr_anamizu_suzu,center_17202,zone_17204,0.0
corr_anamizu_suzu,center_17202,zone_17205,40.0
corr_anamizu_suzu,center_17202,zone_17461,0.0
corr_anamizu_suzu,center_17202,zone_17463,0.0
corr_anamizu_suzu,center_17204,zone_17202,0.0
corr_anamizu_suzu,center_17204,zone_17204,0.0
corr_anamizu_suzu,center_17204,zone_17205,40.0
corr_anamizu_suzu,center_17204,zone_17461,0.0
corr_anamizu_suzu,center_17204,zone_17463,0.0
corr_anamizu_suzu,center_17205,zone_17202,40.0
corr_anamizu_suzu,center_17205,zone_17204,40.0
corr_anamizu_suzu,center_17205,zone_17205,0.0
corr_anamizu_suzu,center_17205,zone_17461,40.0
corr_anamizu_suzu,center_17205,zone_17463,40.0
corr_anamizu_suzu,center_17461,zone_17202,0.0
