instance_id,event_index,oracle_calls,nodes_processed,active_nodes,incumbent_UB,global_LB,absolute_gap,relative_gap_percent,event,node_id,depth,node_LB
synthetic_L5_seed17,1,1,0,1,85.44015398928852,85.44015398928852,0.0,0.0,incumbent_improvement,1,0,85.44015398928852
synthetic_L5_seed17,2,1,1,0,85.44015398928852,85.44015398928852,0.0,0.0,bound_pruned,1,0,85.44015398928852
synthetic_L5_seed29,1,1,0,1,77.65151283809573,77.65151283809575,-2.842170943040401e-14,-3.66016171374067e-14,incumbent_improvement,1,0,77.65151283809575
synthetic_L5_seed29,2,1,1,0,77.65151283809573,77.65151283809575,-2.842170943040401e-14,-3.66016171374067e-14,bound_pruned,1,0,77.65151283809575
synthetic_L5_seed43,1,1,0,1,81.36130373364732,81.36130373364733,-1.4210854715202004e-14,-1.7466355703596038e-14,incumbent_improvement,1,0,81.36130373364733
synthetic_L5_seed43,2,1,1,0,81.36130373364732,81.36130373364733,-1.4210854715202004e-14,-1.7466355703596038e-14,bound_pruned,1,0,81.36130373364733
synthetic_L6_seed17,1,1,0,1,94.02600604888445,94.0260060488844,5.684341886080802e-14,6.0454996707246e-14,incumbent_improvement,1,0,94.0260060488844
synthetic_L6_seed17,2,1,1,0,94.02600604888445,94.0260060488844,5.684341886080802e-14,6.0454996707246e-14,bound_pruned,1,0,94.0260060488844
synthetic_L6_seed29,1,1,0,1,83.43426486933522,83.43426486933522,0.0,0.0,incumbent_improvement,1,0,83.43426486933522
synthetic_L6_seed29,2,1,1,0,83.43426486933522,83.43426486933522,0.0,0.0,bound_pruned,1,0,83.43426486933522
synthetic_L6_seed43,1,1,0,1,74.50881429591497,74.50881429591497,0.0,0.0,incumbent_improvement,1,0,74.50881429591497
synthetic_L6_seed43,2,1,1,0,74.50881429591497,74.50881429591497,0.0,0.0,bound_pruned,1,0,74.50881429591497
synthetic_L7_seed17,1,1,0,1,101.64349895693968,101.64349895693967,1.4210854715202004e-14,1.3981075878962313e-14,incumbent_improvement,1,0,101.64349895693967
synthetic_L7_seed17,2,1,1,0,101.64349895693968,101.64349895693967,1.4210854715202004e-14,1.3981075878962313e-14,bound_pruned,1,0,101.64349895693967
synthetic_L7_seed29,1,1,0,1,70.53667627727987,70.5366762772799,-2.842170943040401e-14,-4.0293519528306366e-14,incumbent_improvement,1,0,70.5366762772799
synthetic_L7_seed29,2,1,1,0,70.53667627727987,70.5366762772799,-2.842170943040401e-14,-4.0293519528306366e-14,bound_pruned,1,0,70.5366762772799
synthetic_L7_seed43,1,1,0,1,60.13514438873247,60.13514438873252,-4.973799150320701e-14,-8.271035516550024e-14,incumbent_improvement,1,0,60.13514438873252
synthetic_L7_seed43,2,1,1,0,60.13514438873247,60.13514438873252,-4.973799150320701e-14,-8.271035516550024e-14,bound_pruned,1,0,60.13514438873252
synthetic_L8_seed17,1,1,0,1,69.5408766700589,69.54087667005888,2.842170943040401e-14,4.087050780974851e-14,incumbent_improvement,1,0,69.54087667005888
synthetic_L8_seed17,2,1,1,0,69.5408766700589,69.54087667005888,2.842170943040401e-14,4.087050780974851e-14,bound_pruned,1,0,69.54087667005888
