instance_id,seed,L,R,state_count,tier_cube_size,budget_feasible_tier_count,enumeration_complete,enumeration_objective,bnb_objective,bnb_lower_bound,bnb_not_worse_than_enumeration,bnb_bound_valid
synthetic_L5_seed17,17,5,2,64,3125,747,True,85.44015398928852,85.44015398928852,85.44015398928852,True,True
synthetic_L5_seed29,29,5,2,64,3125,733,True,77.65151283809573,77.65151283809573,77.65151283809575,True,True
synthetic_L5_seed43,43,5,2,64,3125,742,True,81.36130373364732,81.36130373364732,81.36130373364733,True,True
synthetic_L6_seed17,17,6,2,128,15625,3355,False,104.91158713396166,94.02600604888445,94.0260060488844,True,True
synthetic_L6_seed29,29,6,2,128,15625,3331,False,88.62817513842663,83.43426486933522,83.43426486933522,True,True
synthetic_L6_seed43,43,6,2,128,15625,3370,False,89.54020314356818,74.50881429591497,74.50881429591497,True,True
synthetic_L7_seed17,17,7,2,256,78125,15248,False,132.70878381633193,101.64349895693968,101.64349895693967,True,True
synthetic_L7_seed29,29,7,2,256,78125,15240,False,81.7454016379896,70.53667627727987,70.5366762772799,True,True
synthetic_L7_seed43,43,7,2,256,78125,15445,False,79.81791538933176,60.13514438873247,60.13514438873252,True,True
synthetic_L8_seed17,17,8,2,512,390625,69539,False,93.62716035032733,69.5408766700589,69.54087667005888,True,True
