rho,state_id,failed_links_json,nominal_probability,worst_case_probability,probability_shift,state_loss,density_ratio
0.05,fail__corr_nanao_anamizu,"[""corr_nanao_anamizu""]",0.01681462923617911,0.033629258472358224,0.016814629236179116,1200.6812830457459,2.0000000000000004
0.05,fail__corr_anamizu_suzu,"[""corr_anamizu_suzu""]",0.20764583717180218,0.15764583717180217,-0.05000000000000002,881.1306459808441,0.7592053821978093
0.05,fail__corr_kanazawa_nanao__corr_nanao_anamizu,"[""corr_kanazawa_nanao"", ""corr_nanao_anamizu""]",0.0019647975248753193,0.0039295950497506395,0.00196479752487532,1229.5356760125162,2.0000000000000004
0.05,fail__corr_kanazawa_nanao__corr_anamizu_wajima,"[""corr_anamizu_wajima"", ""corr_kanazawa_nanao""]",0.0023166790507681764,0.004104103766560571,0.0017874247157923942,1101.1843389340943,1.7715461126131005
0.05,fail__corr_nanao_anamizu__corr_anamizu_wajima,"[""corr_anamizu_wajima"", ""corr_nanao_anamizu""]",0.0009668689646712374,0.0019337379293424752,0.0009668689646712378,1352.6163144338102,2.0000000000000004
0.05,fail__corr_nanao_anamizu__corr_anamizu_noto,"[""corr_anamizu_noto"", ""corr_nanao_anamizu""]",0.0077578978313060185,0.015515795662612039,0.00775789783130602,1201.8799099474047,2.0000000000000004
0.05,fail__corr_nanao_anamizu__corr_anamizu_suzu,"[""corr_anamizu_suzu"", ""corr_nanao_anamizu""]",0.01012640946878742,0.020252818937574846,0.010126409468787427,1200.6812830457452,2.000000000000001
0.05,fail__corr_kanazawa_nanao__corr_nanao_anamizu__corr_anamizu_wajima,"[""corr_anamizu_wajima"", ""corr_kanazawa_nanao"", ""corr_nanao_anamizu""]",0.00011297910420631379,0.00022595820841262758,0.00011297910420631379,1375.946765916145,2.0
0.05,fail__corr_kanazawa_nanao__corr_nanao_anamizu__corr_anamizu_noto,"[""corr_anamizu_noto"", ""corr_kanazawa_nanao"", ""corr_nanao_anamizu""]",0.0009065140981157528,0.0018130281962315056,0.0009065140981157528,1230.472103279437,2.0
0.05,fail__corr_kanazawa_nanao__corr_nanao_anamizu__corr_anamizu_suzu,"[""corr_anamizu_suzu"", ""corr_kanazawa_nanao"", ""corr_nanao_anamizu""]",0.0011832758237295923,0.0023665516474591854,0.0011832758237295931,1229.5356760125155,2.000000000000001
